solanaAddress,allocation
9qJ4dZF8nmQDc2os4oUSYLwknFTQ6Vj3YeBZnYuvTJM8,3000,
APpLbuRRv5vSqZcuRETZqw2xKq2w3e9tRV79YRibjTeu,3000,
6KFMXYUXNxvoRpUu3EL8iqyrjqqXUfWoVwjTzeWumcYu,3000,
814Phjen3iyEs5F4EcqRzGFz7J3xToK7xzWcqMgMQmTb,3000,
JD2KGLk8aiDfd9x9BXWVx8bq2ZPTGGX4hDcEo7Xsp5aU,3000,
8TKsnMVBdeHTfBw9g39cgiXQ7mFr5A2LEFvxiCysxCfQ,3000,
2UU766poWoahm1SV6fBCizDhHG6kr8mzCZFvH93GRFxP,3000,
B5QWYXTCzPQ9fJjFdEeX6AQ7u5MDEGUsrdbDQEiT1LXT,3000,
AxbfKPRABTBES1NJj7q4gUgfTCy9336MBpuGfEitBE5x,3000,
6pntPjjGPiJq3fGtNqarPgVdzCA3W2NCGsJHALtWxv21,3000,
4b95QehHQJuQo7uUuBNeFGfr89xLQgYu1EecmD8zAwGW,3000,
4vc9VW9QSqPHfWvCedhViYxrVQyH3Z8AhnVshQ7C9fC3,3000,
Ab9btXxHYjBumissdtSPZ42tPxAeQi9U94gGq9xcjy9V,3000,
DzwqXmhhWmUztQ2JabHJ8ejZJPRZxYtx1YL3ECTF6AHa,3000,
ADVZffT27GXA6pDJYsSCmSirsGabTCe5CVHfA9iR1Aik,3000,
HdSMPUTsyu2pQ8AEoynet4Wpu6GU9koTWPcnB6DbtHXp,3000,
4eFxT6yYeRb5gmXMEt5QaRtcswaSYCUGv4Zgj7KCd7ox,3000,
FD8s8ruJ4LnhYGzHn6beWHNyZyFbfy4MVp6o3uAKkVjA,3000,
C6ZpV4bkeUKEcLsjY6em5s1SXLm5TH4DuHw2VL9TWu67,3000,
7bMrTXhfFFmPdkvrtMwPkVJbDE7WeHQegpcLjW845NRp,3000,
GXYwgHo4YLaydpCAVVi4kDARDBNp57m5NvBnCns1D1RZ,3000,
DVLyrckQeUEUFAwMa1wA5TtCFCTsL28rWeRf9TQThyu6,3000,
E9YFy55jDWLz1eSVwCS1REDHQ6qWzPtSP5nkmK5xWUqx,3000,
96G7cuXDzLEmExU3T7B1jhtHW4nqHnAEwSLMWAHcXVUc,3000,
3J3VQmkJbtMjy3c92pSmEpastq5mHxJLoZnjjBcznbvq,3000,
J32okpD9HDNC7oHKzRCd83928caZwayParQwsNLmNEPL,3000,
5Px3U5CXjZpdXkgtXxvA1fqkKSTmMDd92XpzGKz3hjtE,3000,
HMp5gY5UXNZPBvuAAXw7iJ3Xf4EjpftstifvqZvUh1AP,3000,
G1DNccJUefGTzQ1jPiJsjCkDDBzNa7gNRw5ZdoSCdVN5,3000,
6QBQ3LFAR6NpUHzc3wNdGS7Spw1i74aSvbU7BudLxHi5,3000,
AKKsSWihoh27wi5NaWYYr7fxCo7ZPjGDAP5MdzTtAebX,3000,
9JQ4DcTEuBykk6p7cPD6kSkinkP5NjCwisQwEAtnoxTu,3000,
9HMSZHcjToR99sLgHVM9USSvKsyVPJSYMbGygLPU83Hv,3000,
BV5Hkpos6pXkmdWUJJnd5HKRmzNUt3gbWKcxPuyUMW3v,3000,
GADNiTfS2NhTAiq8by7q1M9rmphqZd7wtNWpxU5hDbgy,3000,
JEBqm4RZoSuuQUJkFTJ26WdFBJ9AHiqDLjTvvG4MuYtH,3000,
2vA4rzB386djJR1gnaGnHoXL7Ppe4FDcM4SqqBHNAiok,3000,
3ywkcEu4Xsvak5cgRZGVCiLTg3YJXiv2wujwpQoLPDFU,3000,
CKxBqGWVHVLHxfwfSccpWgiqEC27zu4x2fuEUvCnsqKX,3000,
2SwXxP9JoaBYktJWfh3D9EFgt85y7mz3kgFR7XniVtFV,3000,
BRpn719ahXyjiMv1AF4RHGw12kSjoJETx6muhWCkfyUK,3000,
Fu1NsBs3KtxTCwFPGLpWnL6G95UsALxHF8p1McSnjNcN,3000,
9BCZNNC2uwBLyH4eGdsV9EWffXtVysZtG1LWNCcj6Upg,3000,
2Pum3ANyTqgJWP1boYzMjLeFXYCMqPBiWTtwVQvCR7xp,3000,
8Wv5TSnj6cJtM1L1zuXnkVaqmhkh3X9TdJKhVevUrrgQ,3000,
4f7M9GHFtHxKrDduHaeCX9bT9uedhs8EigaFZLzAWB86,3000,
GLpDxG9BTxEdVBbBBSwbkuKHqcwAq3DLMw6cECVjHGmu,3000,
7NUbGhm8g3kUBtzdbTautmP55puP9R1SVsYKYtovgkfZ,3000,
Dp7M1evpwDjhthW8MLa3cHkPUsNo9nNXRwHQyJew8ra7,3000,
GSmaanFWA6QjAunczop3uAX387PmUL4Dtef3e1pKzEqb,3000,
5VuDcJQ1BNeDyqzfVLc5dgznck46MSsvfZMQV91dscW4,3000,
HKNCns6GJsGzp5NcRAdQTCoGHaxksxo7EvoeF2wJXVbv,3000,
CoVGRQxkjYzjrSzJ7kJfq3rExGvFpyHL7dse7A743ydC,3000,
